GCMS	1,3-Dihydroxyacetone	1,6-Diaminohexane	2-Aminoadipic_acid	2-Hydroxy-3-methylbutyric_acid	2-hydroxybutyric_acid	2-hydroxyglutaric_acid	2-Hydroxyisocaproic_acid	2-hydroxypyridine	2-ketoisocaproic_acid	3-(3-hydroxyphenyl)propionic_acid	3,4-Dihydroxyhydrocinnamic_acid	3,4-Dihydroxyphenylacetic_Acid	3-Hydroxybutyric_acid	3-indoleacetic_acid	4-Aminobutanoic_acid	4-hydroxyphenylacetic_acid	5-aminovaleric_acid	5-Hydroxyhexanoic_acid_	5-hydroxyindole-3-acetic_acid	6-hydroxynicotinic_acid	adenine	adenosine	Aminomalonic_acid	Azelaic_acid	Benzoic_Acid	Beta-_alanine	Cadaverine	Caffeic_acid	caprylic_acid	Cyclohexanecarboxylic_acid	D-(+)_trehalose	Deoxycholic_Acid	D-Glucose	D-Malic_acid	D-mannitol	D-Ribose	Ethanolamine	fumaric_acid	galacturonic_acid	gentisic_acid	Glutaric_acid	glyceric_acid	glycerol	glycerol_1-phosphate	Glycine	glycolic_acid	Guanine	Heptanoic_acid	hydrocinnamic_acid	Hypoxanthine	inosine	Inositol,_myo	L-(-)-fucose	L-alanine	L-Aspartic_acid	L-Cysteine	L-Glutamic_acid	L-glutamine	L-homoserine	L-isoleucine	L-lactic_acid	L-Leucine	L-Lysine	L-methionine	L-Ornithine	L-Phenylalanine	l-Proline	L-serine	L-threonine	L-tryptophan	L-tyrosine	L-valine	maleic_acid	methyl-beta-D-galactopyranoside	Methylphosphoric_acid	Methylsuccinic_acid	N-acetyl-D-glucosamine	N-acetyl-L-glutamic_acid	Nicotinic_acid	palmitic_acid	pantothenic_acid	p-cresol	Pentanoic_acid	phenyl-beta-glucopyranoside	phosphate	pipecolic_acid	putrescine	Pyruvic_acid	quinic_acid	Rhamnose	spermidine	stearic_acid	Succinic_acid	thymine	trans-4-Hydroxycyclohexanecarboxylic_acid	Tricarballylic_acid	uracil	uric_acid	Xanthine
sample-018	0.705294292	0.987193916	1.060909156	0.278188121	0.815689305	0.553291528	0.0	0.755375394	0.0	0.080181677	0.0	3.849581267	0.883115833	0.0	0.71996466	1.449360862	0.87277423	0.0	3.478943645	0.0	0.70342755	0.226137733	1.019093588	0.376934282	0.396141264	8.435378041	0.459281695	0.68853808	0.162757854	0.346234605	0.0	0.0	0.362815197	0.40930255	0.322739449	1.139968092	0.566802155	0.328753711	0.0	0.871500887	0.965680957	1.086235379	0.698793772	0.65437333	0.515616825	0.818739932	0.843862993	0.0	1.195247008	0.993418855	1.440004283	0.677050269	1.381640608	0.638246596	0.998520451	1.522269868	0.854557313	0.971464206	1.334915975	0.468517897	1.566011471	0.342821709	1.307576597	0.585380147	1.984999575	0.555921628	0.792073498	0.620661454	0.779465819	0.318311719	1.029102209	0.517448724	0.608776074	0.632530125	0.191307571	0.747645546	1.024393681	0.73466345	0.850402416	1.318637583	1.732348015	0.10933629	0.629063205	0.088235803	1.559087221	1.001656675	0.0	0.826820765	5.9527894	0.291201507	1.136719443	1.310398449	10.84090746	0.962468053	0.0	0.244308983	3.327853991	0.210219358	1.283448272
sample-019	1.759688207	1.071133279	1.489549364	0.0	1.252048596	0.7960664	0.0	1.264901194	1.901203235	0.027537264	0.0	0.0	0.811065139	0.344428712	0.220466315	0.702283692	0.361042626	3.956881543	1.668492006	1.579045966	0.246538873	0.0	4.380114365	2.830226089	1.140142264	0.443922379	0.105803316	0.580799328	0.58304552	0.133307294	0.0	0.135269947	0.143662967	1.02913092	0.0	1.256574933	0.560025752	0.686206751	0.440710661	0.766805918	3.319384122	0.29646644	0.329509632	0.811226153	1.54414605	1.047554528	0.0	1.115674032	1.036175883	0.311918454	0.494423261	0.383803462	0.0	1.533305657	0.972990031	1.452437411	0.629275258	0.98616009	0.449714206	1.310788631	0.708974723	1.440036224	1.157952572	1.546903685	0.40784156	1.231762068	1.197806722	1.498971521	1.22245158	0.472173067	1.094168186	1.315687548	1.064856157	0.154084521	0.143963075	1.477186254	0.705449315	2.030491388	0.537117955	1.623554142	0.852184385	3.721583193	1.339005611	0.806641279	0.75022002	0.0	0.0	1.950963651	0.0	0.2196483	0.92059225	1.484974921	0.007057628	0.823014392	0.014744159	1.195349913	0.793596819	4.278944807	1.02970768
sample-020	0.0	0.0	1.289963437	0.0	0.326219912	0.479618583	0.0	0.531230878	0.0	0.096542947	0.191357123	0.391678889	0.153234743	0.804759999	0.0	1.24554504	0.863050772	0.0	2.400269667	0.0	0.0	0.377047808	0.446222414	0.0	0.437390114	0.896643701	0.027816763	0.60826411	0.0	0.0	0.0	0.0	1.081088044	0.661751147	0.324502009	1.589763899	0.32551468	0.0	0.889017234	1.211205802	1.67203791	0.924269856	0.505111596	0.0	0.537411141	1.468595456	0.0	0.0	1.728805284	0.364379125	1.349884844	0.829304327	0.886614677	0.775686976	0.575882099	0.980195749	0.944462657	0.0	3.300980311	0.41340244	0.816329692	0.19373785	0.709205736	0.390593765	0.769075204	0.0	0.870275627	0.632979848	0.705220684	0.0	0.424470726	0.379625386	0.266944053	0.412123056	0.011178874	0.78539021	0.499214957	0.59431409	1.611485124	1.706862656	0.782433683	0.0	1.238670605	1.958513988	0.159513633	0.579507339	0.187267334	0.999109705	0.162025996	0.784244974	1.437386595	1.522052079	0.194427773	0.65205054	0.0	0.056686644	1.200224788	0.0	0.309768265
sample-021	0.559370147	0.0	1.504804988	0.586814829	0.555302586	0.484447656	0.0	0.636669339	0.0	0.011568663	0.0	0.0	0.39178836	0.130326446	0.253656527	0.821537792	0.382674661	0.682069644	1.008962609	5.470541618	0.379576139	0.882175048	0.838328089	0.0	0.554261653	1.051404303	0.034160808	0.144070664	0.0	0.287489084	0.0	0.31730696	0.025988874	0.0	0.0	0.389648837	0.357323863	0.153521744	0.0	0.250982758	1.045958245	0.740160539	0.748349958	0.0	0.571896508	0.764509432	0.0	0.0	0.421606462	0.098956398	0.176883367	0.120499898	0.0	0.630267359	0.420225062	1.40573571	0.512025904	0.0	0.0	0.284892775	0.62180685	0.283505799	0.917064154	0.404617793	1.343304248	0.304367465	0.25142443	0.415006788	0.412892134	0.0	0.318432216	0.519344756	0.446457578	0.124145258	0.011205827	0.824460839	0.140230408	0.690103339	0.384877668	0.980540068	0.498733703	2.857738759	0.965289876	0.694639734	0.36268812	1.074739616	0.088036837	1.319141801	0.0	0.0	0.728354764	0.798690838	0.011280285	0.373835895	0.175513174	0.124777392	0.217556281	0.394944605	0.057598573
sample-022	0.0	1.117942738	0.979676441	0.402035572	0.781488946	0.392480445	0.0	0.747334745	0.774492447	0.003316943	0.0	0.0	0.0	0.0	0.20733844	0.570332392	0.110452506	0.333767871	0.458067378	0.639716093	0.158227995	0.069633199	2.205743768	0.0	0.0	0.254492513	0.428435651	0.652337122	0.0	0.23754555	0.0	2.031649474	0.749059929	0.360725942	0.097545741	0.550113717	0.63787958	0.450025348	0.276590584	0.74430159	3.072861603	0.14882341	3.091280144	0.450030562	0.343788154	0.708614253	0.0	0.0	0.508958218	0.267180292	0.218031034	0.365012977	0.0	0.889106341	0.595807624	1.658330613	0.613350711	0.484906771	0.0	1.64671866	1.184429961	1.114631773	0.591057352	0.848681945	0.982223433	1.150109854	0.587846666	0.785447995	0.870091467	0.243496557	0.958882673	0.999285438	0.444563123	0.187768502	0.019050864	0.906460695	0.154321093	0.657110101	0.340013153	1.135379031	1.000912106	1.078825504	0.541302383	1.050419547	0.170752537	0.560830843	0.0	0.881970917	0.080014567	0.075095457	0.0	0.953928296	0.0	0.465528803	0.076306422	0.142203487	0.354903108	0.604532803	0.360183438
sample-023	3.37427969	1.544934219	2.107847785	1.115325377	2.687653455	1.235458369	2.851770713	1.876012482	1.734144572	0.012836766	0.0	0.0	0.115577804	1.123373608	0.0	0.630319323	0.172032634	1.045801995	0.208432418	0.0	1.081461556	0.264993704	9.862510145	0.810285782	0.326066089	1.838867132	0.168681899	0.378856439	0.344974737	0.0	0.0	4.451050505	0.77049311	0.769908569	0.0	2.526737502	5.523904166	0.957161681	0.229909255	0.320276018	1.17668337	0.505232949	0.708808598	4.204244775	1.936678377	0.826381629	3.234631662	2.062926958	1.139243297	4.14045217	1.106880341	4.61550293	2.671426855	2.548924857	2.62774948	2.423535834	1.838946155	1.460745267	1.038535484	3.353344224	1.307373762	2.187734686	2.467474726	1.997635305	4.398248118	2.948611466	2.170117389	1.743629061	2.37264723	1.989479822	2.327032309	2.539401618	1.208420721	1.849531205	2.755371421	2.756801923	5.133385171	1.108612145	2.013667421	1.179949417	6.150420967	1.392842921	1.55080867	0.457589464	2.172046148	2.075163977	1.475791384	1.485098437	0.243148897	1.619481264	1.427957341	1.198351735	0.0	8.498375557	0.0	1.4059413	7.066380461	0.576729312	8.621986785
sample-024	1.517811178	0.0	1.747263588	0.0	0.0	0.277844879	0.0	1.739752054	0.0	0.005045975	0.192779051	0.0	0.203622958	0.584005426	0.267591443	0.530138554	0.203295842	3.310248727	0.0	1.115418366	0.0	0.660866194	1.86994724	2.57371051	0.15309152	0.657038081	0.372175657	2.018619507	3.824814138	0.054190509	0.0	2.501707744	0.125301781	0.6610681	0.0	0.729293752	1.140555753	1.059959046	0.0	0.110994042	0.198759923	0.235557742	0.299623694	0.0	0.78530586	0.850569785	0.0	2.062351606	0.556971506	0.476376594	0.941976979	0.0	0.0	0.788152566	0.556191112	3.386652468	0.736952962	0.0	0.405155315	0.752869681	0.685178162	0.678856223	0.871980957	0.729125512	0.0	0.446395985	0.949487307	0.679155469	0.583503722	0.145796475	0.510856138	0.674121596	2.359134382	0.269625647	0.723517348	3.024340464	0.135559893	1.293274076	0.838140663	1.168490582	0.518637139	1.647399015	0.654596679	0.0	1.915426892	0.045257426	0.0	1.389991618	0.0	0.0	0.706135367	1.215979494	3.764284495	0.558275997	0.0	0.655785089	0.734353788	0.303289301	0.384147148
sample-025	0.39327384	0.554659018	1.280197795	0.0	0.844379158	0.677481497	0.705606503	0.869311756	1.109742115	0.012496043	0.157218062	0.0	0.0	0.360173625	0.163627297	0.0	0.163196275	0.405757887	0.0	0.453855534	0.32544956	0.0	2.002858586	1.307500351	2.822876085	0.704116063	0.0	0.976858314	0.13161841	0.0	0.0	1.504376092	0.061239854	0.134600808	0.0	0.440137117	0.073526252	0.358596901	0.0	0.0	0.049305382	0.05579372	0.117707696	0.0	0.847140368	0.415472984	0.712809121	0.064302656	0.070495523	0.0	0.165410435	0.0	0.0	0.662375303	0.429114191	1.736323581	0.324536899	0.697283633	0.268363295	0.965120273	2.658467431	0.9371902	0.420321977	0.73170685	0.0	0.555614559	0.742145297	0.673414391	0.685268811	0.256389294	0.613510933	0.675327969	1.110340125	0.0	0.299519413	0.035536225	0.259638446	0.0	0.178855606	1.526147631	0.0	2.497686953	0.355008982	0.70384968	0.96433947	0.034922195	0.0	0.846731059	0.07640968	0.077016811	0.0	1.814704315	0.004659117	0.673098572	0.0	1.053356434	0.527432242	6.39672638	1.451738624
sample-026	1.101471243	0.610336575	0.456698719	0.0	0.0	0.463558495	0.0	0.811518805	1.079562443	0.019175815	0.183441184	0.0	0.224399912	1.047350831	0.0	0.530069746	0.267371978	1.719695443	0.50922399	0.0	0.195732353	0.184782013	2.059468923	0.362429189	0.788084726	0.668483206	0.074028489	1.120911157	2.047650589	0.081477038	0.0	0.323989844	0.380055135	0.461893745	0.07201003	0.974333904	0.475718788	0.2626496	0.227365487	0.33426824	1.086821866	0.332128109	0.598756666	0.66930049	0.768840846	0.521300785	0.325333908	1.98991239	0.299733961	0.362224425	0.142995097	0.770326697	0.874309424	0.936491415	0.484597983	0.448624342	0.619537933	0.443992509	0.0	0.933784293	0.380722737	0.725752299	0.97634839	0.750090373	1.050518138	0.689016901	0.793028912	0.650761098	0.796047158	0.366359483	0.634114526	0.810264053	0.719708452	0.164567679	0.139708504	1.899908264	1.004194559	0.829239064	0.662028996	0.87850412	0.732131136	1.448645934	0.627190544	0.657636305	0.449002385	0.058284719	0.0	1.171416597	0.141271369	0.144312153	0.74237836	0.772974475	0.010286042	0.789398522	0.0	0.200628078	0.67224326	1.853132531	0.679147074
sample-027	1.326567245	0.0	3.821218361	0.0	0.873224059	1.005726163	0.0	1.493719475	0.0	0.435140277	0.225231883	0.0	0.565845566	0.964139971	0.499707605	1.961434128	0.326650522	1.185667747	0.438543304	0.0	1.924018546	0.0	2.694018826	0.0	0.230763057	0.944480062	0.183956675	0.703342991	0.501537478	0.0	0.0	6.79198721	2.663958241	4.542520325	0.0	2.121418965	0.48811964	1.872825627	0.0	1.195413275	0.629050526	1.489446645	0.208775774	2.76908712	0.503541121	0.966542453	1.40566278	1.224045969	1.603958509	3.832422403	1.392030719	0.0	1.108405178	2.000938853	2.145361667	3.79732588	1.649805529	0.859005944	1.752299895	0.479201364	0.878075853	0.448168034	2.180751674	0.688488312	3.032605473	0.80130604	0.228281569	0.942038669	1.416900625	0.318393156	0.804506226	0.97288147	2.028868099	2.134228743	6.798705942	0.372141498	1.008473889	0.0	1.554523998	1.775135254	1.524146576	1.162082739	1.459827597	0.707626935	5.076551752	0.878601824	0.0	0.90586758	0.0	0.211121186	1.313064887	2.168224657	1.156731783	0.622353129	0.184588132	0.774626894	1.292868509	0.0	1.444732746
